"IYCCNTRNO","IYCCNTRAREAID","IYCIVOYID","IYCEVOYID","IYCCTYPECD","IYCCSZCSIZECD","IYCPOTDSTPORT","IYCWEIGHT","IYCDNGFG","IYCREFFG","IYCYLOCATION","IYCPLANFG"
"TTNU4706246","B2","","195397","GP","40","USSAV","23232","","","B24252","Y"
"MSCU7971299","B2","","195397","GP","40","USSAV","10042","","","B23843","N"
"EXFU0603642","W5","","195397","TK","20","USSAV","25800","8","","W53511","Y"
"EXFU0702917","W5","","195397","TK","20","USSAV","25800","8","","W54131","Y"
"TIFU3246666","W5","","195397","TK","20","USSAV","25800","8","","W53341","Y"
"SIMU2525999","W5","","195397","TK","20","USSAV","25800","8","","W54141","Y"
"SIMU2591753","W5","","195397","TK","20","USSAV","25800","8","","W54311","Y"
"SIMU2519620","W5","","195397","TK","20","USSAV","25800","8","","W53521","Y"
"SIMU2504419","W5","","195397","TK","20","USSAV","25800","8","","W53321","Y"
"NPCU4550136","W5","","195397","TK","20","USSAV","25800","8","","W53531","Y"
"SIMU2697175","W5","","195397","TK","20","USSAV","25800","8","","W53311","Y"
"TCLU9029446","W5","","195397","TK","20","USSAV","25800","8","","W53331","Y"
"SIMU2697128","W4","","195397","TK","20","USSAV","25800","8","","W44721","Y"
"TRLU6893340","62","","195397","GP","40","USSAV","20899","","","620823","N"
"MSCU5008103","B3","","195397","GP","40","USMIA","13975","","","B32635","N"
"MSKU1353815","A1","195745","195397","GP","40","USSAV","12600","","","A13414",""
"SIMU2579531","W4","","195397","TK","20","USSAV","25800","8","","W44711","Y"
"TCLU9035198","W4","","195397","TK","20","USSAV","25800","8","","W44921","Y"
"SIMU2443545","W5","","195397","TK","20","USSAV","25800","8","","W54321","Y"
"MAEU6381560","A3","","195397","GP","40","USCHS","7555","","","A33814","N"
"MRKU3203448","B2","","195397","GP","40","USSAV","16429","","","B24213","N"
"MSKU1204093","75","","195397","GP","40","USSAV","7320","","","750631",""
"MSKU9921629","75","","195397","GP","40","USSAV","7608","","","755831",""
"UETU5030205","75","","195397","GP","40","USSAV","7212","","","755832",""
"CLHU4705449","B2","","195397","GP","40","USSAV","26280","","","B24253","Y"
"PONU7665600","A3","","195397","GP","40","USSAV","15758","","","A35024","N"
"MSKU8253145","87","","195397","GP","40","USSAV","7860","","","877452","N"
"MRKU0846482","B3","","195397","GP","40","USJAX","13721","","","B30635","N"
"MRKU7100031","82","195756","195397","GP","20","USCHS","22518","","","824531",""
"MRKU9674342","60","195756","195397","GP","20","USCHS","22320","","","601132",""
"MRSU0254254","B3","195756","195397","GP","20","USCHS","22472","","","B30954",""
"MEDU3442483","B3","","195397","GP","20","USJAX","22875","","","B30914","N"
"MSKU0517051","66","195827","195397","GP","40","USSAV","12600","","","660223",""
"MRKU5410090","42","195827","195397","HC","40","USSAV","10485","","","424631",""
"MSKU1058384","70","195827","195397","HC","40","USSAV","10485","","","701234",""
"MRKU4767946","77","195827","195397","HC","40","USSAV","10485","","","771843",""
"MSKU8961381","74","195827","195397","GP","40","USSAV","10485","","","740662",""
"MRKU5458900","64","195827","195397","GP","40","USSAV","10485","","","640233",""
"MRKU8294008","54","195843","195397","GP","20","USCHS","18814","","","541531",""
"MSKU4494247","62","195843","195397","GP","20","USCHS","17842","","","620512",""
"MEDU6597215","50","195868","195397","GP","20","USSAV","26500","","","506733","Y"
"PONU1306599","A2","","195397","GP","40","USCHS","29560","","","A23051","N"
"TGHU4531471","B3","","195397","GP","40","USMIA","28776","","","B32651","N"
"MRKU0380650","A3","","195397","GP","40","USCHS","9354","","","A33813","N"
"INKU6407931","B3","","195397","GP","40","USJAX","5917","","","B30232","N"
"MRKU5105158","B3","","195397","GP","40","USJAX","9708","","","B30235","N"
"MRKU8109455","B3","","195397","GP","20","USMIA","20851","","","B31152","N"
"MRKU9298883","A3","","195397","GP","20","USCHS","9141","","","A34521","N"
"MSCU7265081","B2","","195397","GP","40","USSAV","8325","","","B24223","N"
"MSWU9058885","4A","195191","195397","RF","40","USJAX","22600","","1","4A3221",""
"MSKU0470782","61","195191","195397","HC","40","USJAX","26100","","","615611",""
"AMFU8662429","51","195191","195397","HC","40","USJAX","28600","","","514431",""
"MRKU4729083","51","195191","195397","HC","40","USJAX","28560","","","514432",""
"MRKU3515220","74","195191","195397","HC","40","USJAX","28100","","","745421",""
"PONU1401765","77","195191","195397","GP","40","USJAX","25580","","","771011",""
"MSKU6244360","81","195191","195397","GP","40","USJAX","25580","","","815431",""
"FCIU8123450","20","195654","195397","GP","40","USJAX","8043","","","206421","N"
"MSWU9003780","A3","","195397","RF","40","USCHS","23695","","","A33863","N"
"MSWU1024805","B2","","195397","RF","40","USCHS","23700","","","B25012","N"
"GATU4275915","A7","","195397","GP","40","USSAV","26100","","","A71812","Y"
"MSKU2075874","A3","","195397","GP","20","USCHS","19522","","","A34542","N"
"TRLU6145101","B3","","195397","GP","40","USJAX","23350","","","B30624","N"
"MRKU0955523","A3","","195397","GP","40","USCHS","10464","","","A34224","N"
"PONU0848255","12","195832","195397","GP","20","USCHS","18840","","","125553",""
"TTNU5227192","80","195832","195397","GP","40","USCHS","22860","","","801831",""
"MEDU2355532","B3","","195397","GP","20","USMIA","23595","","","B31143","N"
"MSKU3669274","62","195506","195397","GP","20","USCHS","19368","","","625741",""
"INKU6709931","A3","","195397","GP","40","USSAV","15224","","","A35035","N"
"MEDU1184440","A2","","195397","GP","20","USSAV","4427","","","A23542","Y"
"MSKU8477633","20","","195397","GP","40","USCHS","26576","","","205412","N"
"MSCU5838461","B3","","195397","GP","40","USJAX","22400","","","B30625","N"
"MSKU1873503","A2","","195397","GP","40","USCHS","22560","","","A22214","N"
"MRKU5814786","55","195512","195397","HC","40","USSAV","12600","","","554662",""
"MRKU3075007","B2","","195397","GP","40","USCHS","10349","","","B25053","N"
"TGHU7953779","B2","","195397","GP","40","USJAX","8502","","","B25423","N"
"MNBU0090610","A3","","195397","RF","40","USSAV","21205","","","A35052","Y"
"TEMU8322821","B3","","195397","GP","40","USJAX","8836","","","B30641","N"
"MRKU2571445","20","","195397","GP","40","USCHS","26201","","","203011","N"
"MEDU4077343","A3","","195397","GP","40","USSAV","23300","","","A35453","Y"
"PONU4928148","A3","","195397","RF","40","USCHS","23920","","","A34235","N"
"MEDU3695497","A2","","195397","GP","20","USSAV","8218","","","A23541","Y"
"TCLU8047379","A2","","195397","GP","40","USCHS","7200","","","A23014","N"
"MRKU5563187","11","195747","195397","GP","40","USSAV","8644","","","111461","N"
"MSKU6156090","A3","","195397","GP","40","USSAV","11966","","","A35861","Y"
"MEDU3090309","66","195512","195397","GP","20","USSAV","22775","","","663762","Y"
"MSCU5784853","B3","","195397","GP","40","USMIA","25129","","","B32652","N"
"MEDU3965910","B3","","195397","GP","20","USMIA","19488","","","B31121","N"
"TTNU9237645","B3","","195397","GP","40","USJAX","8043","","","B30645","N"
"MSKU7968041","B3","","195397","GP","20","USMIA","12220","","","B31161","N"
"CAXU6385095","A3","","195397","GP","20","USCHS","19450","","","A34514","N"
"TGHU3251265","A3","","195397","GP","20","USSAV","15970","","","A34725","N"
"MSCU4833953","A3","","195397","GP","40","USSAV","25821","","","A35423","Y"
"MRKU3764222","5A","","195397","GP","40","USSAV","15023","","","5A0251","N"
"PONU7800741","A3","","195397","GP","40","USSAV","14475","","","A35841","N"
"MEDU2376812","B3","","195397","GP","20","USMIA","22398","","","B31122","N"
"MRKU0871696","A3","","195397","GP","40","USCHS","27536","","","A33822","N"
"MSKU9895730","A2","","195397","GP","40","USCHS","10100","","","A22223","N"
"MSCU9950274","A3","","195397","GP","40","USSAV","19500","","","A35054","Y"
"MEDU4312015","B2","","195397","GP","40","USSAV","26500","","","B23821","N"
"TTNU5236189","A3","","195397","GP","40","USSAV","23300","","","A35821","Y"
"MSCU5589498","A2","","195397","GP","40","USCHS","22866","","","A23044","N"
"TTNU9348905","A3","","195397","GP","40","USSAV","13361","","","A35021","N"
"MRKU2189751","54","195827","195397","GP","40","USSAV","12600","","","540661",""
"MSKU8262717","B3","","195397","GP","40","USMIA","18440","","","B32645","N"
"MSKU8765440","B3","195751","195397","GP","40","USSAV","11580","","","B33432",""
